 Field Number , Field Name         , Data Type    
1, Record ID          , Numeric      
2, Respondent ID      , Alphanumeric 
3, Agency Code        , Numeric      
4, Activity Year      , Numeric      
5, Tax ID             , Alphanumeric 
6, LAR Entries        , Numeric      
7, Respondent Name    , Alphanumeric 
8, Respondent Address , Alphanumeric 
9, Respondent City    , Alphanumeric 
10, Respondent State   , Alphanumeric 
11, Respondent ZIP     , Alphanumeric 
12, Parent Name        , Alphanumeric 
13, Parent Address     , Alpnanumeric 
14, Parent City        , Alphanumeric 
15, Parent State       , Alphanumric  
16, Parent ZIP         , Alphanumeric 
